timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 29, 2026 @ 20:12:13.696",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.696",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`table_stats`'",3,100711
"Jun 29, 2026 @ 20:12:13.696",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.656",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.655",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.655",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.655",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`global_priv`'",3,100711
"Jun 29, 2026 @ 20:12:13.646",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.646",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.646",ubuntu22-server,"""MariaDB audit -"" Plugin operation detected: 'select count(*) into @discard from `mysql`.`plugin`'",7,100712
"Jun 29, 2026 @ 20:12:13.573",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:11.828",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `sys`.`sys_config`'",3,100711
"Jun 29, 2026 @ 20:12:11.657",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select concat(\'select count(*) into @discard from `\',\n                    TABLE_SCHEMA, \'`.`\', TABLE_NAME, \'`\')\n      from information_schema.TABLES where TABLE_SCHEMA<>\'INFORMATION_SCHEMA\' and TABLE_SCHEMA<>\'PERFORMANCE_SCHEMA\' and ( ENGINE=\'MyISAM\' or ENGINE=\'Aria\' )'",3,100711
"Jun 29, 2026 @ 20:12:11.657",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:11.657",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 18:19:43.271",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:49:34.429",ubuntu22-server,"""MariaDB audit -"" An operation returned error 1051: 'DROP TABLE non_existent_table'",3,100713
"Jun 28, 2026 @ 17:49:30.857",ubuntu22-server,"""MariaDB audit -"" Successful account manipulation: 'DROP USER \'tester\'@\'localhost\''",7,100701
"Jun 28, 2026 @ 17:49:24.071",ubuntu22-server,"""MariaDB audit -"" Successful account manipulation: 'CREATE USER \'tester\'@\'localhost\' IDENTIFIED BY *****'",7,100701
"Jun 28, 2026 @ 17:49:19.246",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'SHOW DATABASES'",3,100711
"Jun 28, 2026 @ 17:49:13.609",ubuntu22-server,"""MariaDB audit -"" Successful deletion: 'DELETE FROM clients WHERE id = 1'",10,100702
"Jun 28, 2026 @ 17:49:13.097",ubuntu22-server,"""MariaDB audit -"" Successful data manipulation operation: 'INSERT INTO clients (id, name, email) VALUES (2, \'Jane Doe\', \'jane@example.com\')'",5,100708
"Jun 28, 2026 @ 17:49:12.685",ubuntu22-server,"""MariaDB audit -"" Successful data manipulation operation: 'INSERT INTO clients (id, name, email) VALUES (1, \'John Doe\', \'john@example.com\')'",5,100708
"Jun 28, 2026 @ 17:48:54.726",ubuntu22-server,"""MariaDB audit -"" Successful schema/data modification: 'ALTER TABLE clients ADD email VARCHAR(255)'",7,100703
"Jun 28, 2026 @ 17:48:46.518",ubuntu22-server,"""MariaDB audit -"" Successful data definition operation: 'RENAME TABLE users TO clients'",5,100706
"Jun 28, 2026 @ 17:48:40.467",ubuntu22-server,"""MariaDB audit -"" Successful data definition operation: 'CREATE TABLE users (id INT, name VARCHAR(100))'",5,100707
